Provinsi/Kabupaten/Kota,Laki-laki (2020),Laki-laki (2021),Laki-laki (2022),Perempuan (2020),Perempuan (2021),Perempuan (2022)
Kota Jakarta Selatan,72.23,72.33,72.6,76.04,76.12,76.51
Kota Jakarta Timur,72.6,72.7,72.98,76.22,76.27,76.63
Kota Jakarta Pusat,72.22,72.3,72.55,75.92,76,76.39
Kota Jakarta Barat,71.72,71.82,71.97,75.43,75.49,75.65
Kota Jakarta Utara,71.36,71.44,71.58,75.13,75.22,75.41
JAWA BARAT,71.3,71.57,71.77,75,75.19,75.48
Bogor,69.24,69.52,69.72,73.06,73.25,73.54
Sukabumi,69.03,69.27,69.53,72.87,73.13,73.47
Cianjur,68.17,68.45,68.62,72.03,72.23,72.5
Bandung,71.67,71.94,72.14,75.34,75.52,75.81
Garut,69.49,69.74,69.74,73.3,73.48,73.74
Tasikmalaya,67.51,67.78,67.97,71.39,71.59,71.88
Ciamis,69.92,70.19,70.39,73.72,73.91,74.2
Kuningan,71.72,71.98,72.18,75.42,75.61,75.87
Cirebon,70.08,70.34,70.54,73.87,74.07,74.37
Majalengka,68.31,68.58,68.79,72.18,72.37,72.68
Sumedang,70.52,70.77,70.95,74.3,74.49,74.78
Indramayu,69.72,70.01,70.24,73.52,73.72,74.04
Subang,70.46,70.78,71.03,74.22,74.44,74.79
Purwakarta,69.05,69.31,69.5,72.89,73.08,73.37
Karawang,70.25,70.5,70.69,74.03,74.21,74.5
Bekasi,71.81,71.99,72.17,75.5,75.63,75.87
Bandung Barat,70.43,70.7,70.88,74.2,74.39,74.67
Pangandaran,69.49,69.75,69.94,73.29,73.48,73.77
Kota Bogor,71.74,72.02,72.25,75.44,75.65,75.96
Kota Sukabumi,70.52,70.75,70.92,74.28,74.44,74.72
Kota Bandung,72.45,72.71,72.92,75.97,76.16,76.46
Kota Cirebon,70.35,70.61,70.82,74.13,74.31,74.61
Kota Bekasi,73.22,73.48,73.7,76.71,76.89,77.18
